Case #,Crime,Occurred (Averaged),Location
20-00704,OABPD: Outside Assist - BPD,2020-03-25 09:43,2095 Rose St
20-00706,10-42: Welfare Check,2020-03-25 11:52,Max Martinez #362F
20-00707,417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm,2020-03-25 17:32,Lower Sproul Pz
20-00708,594: PC; Malicious Mischief/Vandalism report of a stalking,2020-03-18 22:35,2465 Eshleman Hall Residential Hall (Rev. 09/04/18)
20-00709,"11377 (A): HS; Possess Controlled Substance 466: PC; Possess/Etc Burglary Tools OUT WRTM: Other Agency Warrant, Misd",2020-03-26 04:30,1110 Jackson Street
20-00711,INFO: Information Only Report,2020-03-26 08:09,Ucpd; Ucpd
20-00714,240: PC; Assault,2020-03-26 15:20,Bancroft Wy & Telegraph Av (Rev. 09/04/18)
20-00718,664/484: PC; Attempted Petty Theft,2020-03-28 00:14,335 Ohlone Av #105
20-00719,Found Prop.: Found Property,2020-03-28 02:44,Barrows Hall
20-00720,PRODAM: Property Damage,2020-03-28 11:24,
20-00721,"148 (A)(1): PC; Resist/Obstruct Police Officer, Etc 242: PC; Battery 602 (O)(2): PC; Trespass:refuse to Leave Property:owner Request 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime]",2020-03-28 14:29,2415 Bowditch St
20-00722,484: PC; Theft,2020-03-23 16:30,Life Science Addition
20-00723,5150: WI; 72 Hour Mental Health Hold,2020-03-28 20:52,Eshleman Hall; Eshleman Hall
20-00724,Caslty: Injury/Illness,2020-03-28 21:40,2400 Durant Av #302 (Rev. 09/04/18)
20-00726,RULES: Rules Violation,2020-03-29 10:48,NW Anim Facil
20-00727,594: PC; Malicious Mischief/Vandalism,2020-03-29 11:38,2195 Hearst Av
20-00728,594: PC; Malicious Mischief/Vandalism,2020-03-29 20:15,2220 Piedmont Av; Haas Business School
20-00729,242: PC; Battery,2020-03-29 15:30,Peoples Park; Peoples Park (Rev. 09/04/18)
20-00730,148.4 (A)(1): PC; Tamper/Etc With Fire Alarm/Etc,2020-03-30 08:18,2415 Dwight Wy
20-00731,Caslty: Injury/Illness,2020-03-30 10:15,2650 Durant Av
20-00732,5150: WI; 72 Hour Mental Health Hold 626: Exclusion Order Issued,2020-03-30 18:31,Peoples Park
20-00733,Caslty: Injury/Illness,2020-03-30 19:47,Ucpd; Ucpd (Rev. 09/04/18)
20-00734,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-03-31 03:24,2200 Bancroft Wy
20-00735,"415: PC; Disturb The Peace 148 (A)(1): PC; Resist/Obstruct Police Officer, Etc",2020-03-31 10:15,Coffer Dam
20-00736,653 X(A): PC; Annoying/Etc Calls to 911,2020-03-31 14:39,2201 Bancroft Wy
20-00737,INFO: Information Only Report,2020-03-31 17:07,755 Ohlone Av #766
20-00738,530.5: PC; Unauth Use of Personal Identification:obtain Credit (Blocked),2020-03-31 20:48,2601 Warring St #106 (Rev. 09/04/18)
20-00856,594: PC; Malicious Mischief/Vandalism,2020-04-28 01:02,Kroeber Hall; Kroeber Hall
20-00857,"OUT WRTM: Other Agency Warrant, Misd",2020-05-01 01:35,585 Red Oak Avenue
20-00858,11377 (A): HS; Possess Controlled Substance,2020-05-01 02:15,585 Red Oak Avenue (Rev. 09/04/18)
20-00865,451 (D): PC; Arson:property,2020-05-02 09:08,Peoples Park; Peoples Park (Rev. 09/04/18)
20-00870,5150: WI; 72 Hour Mental Health Hold 626: Exclusion Order Issued,2020-05-03 09:43,Faculty Glade; Faculty Glade (Rev. 09/04/18)
20-00873,22651(n): VC; Posted Tow Away Zone,2020-05-04 10:13,1925 Walnut St
20-00874,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-05-04 12:57,Space Sciences; Space Sciences
20-00875,314: PC; Indecent Exposure,2020-05-04 13:08,Eucalyptus Grove; Eucalyptus Grove
20-00876,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-05-04 13:37,Zellerbach Hall; Zellerbach Hall
20-00877,484: PC; Theft,2020-03-12 14:00,2222 Bancroft Wy; Tang Center
20-00879,242/243 (B): PC; Battery On Peace Officer/Emergency Personnel/Etc 626: Exclusion Order Issued,2020-05-04 18:07,2536 Channing Wy; Anna Head
20-00880,Caslty: Injury/Illness,2020-05-04 20:12,2536 Channing Wy; Anna Head (Rev. 09/04/18)
20-00881,PRODAM: Property Damage,2020-05-05 00:02,Strawberry Canyon Rsch; Strawberry Canyon Rsch
20-00883,484: PC; Petty Theft,2020-05-05 11:24,525 Red Oak Av; Uva-149
20-00884,484: PC; Theft,2020-05-05 14:33,Valley Life Science Bldg; Valley Life Science Bldg
20-00885,5150: WI; 72 Hour Mental Health Hold,2020-05-05 16:10,2536 Channing Wy; Anna Head
20-00886,602.5 (A): PC; Trespass: Enter Noncommercial Dwelling,2020-05-05 20:02,2400 Durant Av; Unit-3 Priestly
20-00887,Found Prop.: Found Property,2020-05-05 22:36,West Crescent; West Crescent (Rev. 09/04/18)
20-00888,594 (A): PC; Vandalism [under $1000],2020-05-06 01:32,Sather Tower; Sather Tower
20-00889,Caslty: Injury/Illness,2020-05-06 19:02,675 Kula Gulf Wy; Uva-156
20-00890,653 X(A): PC; Annoying/Etc Calls to 911 166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime] 626: Exclusion Order Issued,2020-05-06 23:32,Gpb Garage; Gpb Garage (Rev. 09/04/18)
20-00893,484 (A): PC; Petty Theft,2020-05-07 15:10,Wickson Gate; Wickson Gate
20-00895,11377 (A): HS; Possess Controlled Substance 626: Exclusion Order Issued,2020-05-07 22:19,Sather Tower; Sather Tower (Rev. 09/04/18)
20-00896,"647 (F): PC; Disorderly Conduct:intox Drug With Alcohol 148.9 (A): PC; False Identification to Police Officer OUT WRTF: Other Agency Warrant, Fel 626: Exclusion Order Issued 485: PC; Appropriate Lost Property",2020-05-08 00:47,2347 Telegraph Av
20-00897,"OUT WRTM: Other Agency Warrant, Misd",2020-05-08 08:28,Underhill Lot; Underhill Lot (Rev. 09/04/18)
20-00898,Found Prop.: Found Property,2020-05-09 00:47,Edwards Stadium; Edwards Stadium
20-00899,Found Prop.: Found Property,2020-05-09 01:48,2301 Bancroft Wy; RSF
20-00900,"OUT WRTF: Other Agency Warrant, Fel",2020-05-09 03:56,Valley Life Science Bldg; Valley Life Science Bldg
20-00902,594: PC; Malicious Mischief/Vandalism,2020-05-09 11:53,2200 Bancroft Wy
20-00903,148.4 (A)(1): PC; Tamper/Etc With Fire Alarm/Etc,2020-05-08 21:14,Underhill Lot; Underhill Lot
20-00904,Rec-Stolen: Recovered Stolen Vehicle OA Assist: Outside Agency Assist,2020-05-09 20:30,1526 Henry (Rev. 09/04/18)
20-00906,Caslty: Injury/Illness,2020-05-10 02:31,Peoples Park; Peoples Park
20-00907,Caslty: Injury/Illness,2020-05-10 04:11,Peoples Park; Peoples Park
20-00908,OA Assist: Outside Agency Assist,2020-05-10 10:34,2535 Channing Wy; Channing/Bowditch Apts
20-00909,242: PC; Battery,2020-05-10 12:55,Sather Tower; Sather Tower
20-00910,484 (A): PC; Theft,2020-05-10 20:08,Blum Center; Blum Center
20-00911,OA Assist: Outside Agency Assist,2020-05-10 18:15,Signpost-21; Signpost-21
20-00912,459: PC; Burglary: Second Degree,2020-05-10 20:10,1040 Jackson St #405
20-00913,484: PC; Theft,2020-05-10 21:48,2601 Warring St; Ckc-4
20-00914,"OUT WRTF: Other Agency Warrant, Fel",2020-05-10 22:21,Eshleman Hall; Eshleman Hall
20-00915,OA Assist: Outside Agency Assist,2020-05-10 18:35,LAVERN RD (Rev. 09/04/18)
20-00916,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-05-07 13:00,660 Kinkead Wy #105
20-00918,484 (A): PC; Petty Theft,2020-05-10 06:30,979 Kula Gulf Wy #IFO
20-00919,Caslty: Injury/Illness,2020-05-11 10:30,Underhill Lot; Underhill Lot
20-00920,594: PC; Malicious Mischief/Vandalism,2020-05-11 20:00,2536 Channing Wy; Anna Head
20-00921,OABPD: Outside Assist - BPD,2020-05-11 22:07,OXFORD/KITTRIDGE (Rev. 09/04/18)
20-00923,5150: WI; 72 Hour Mental Health Hold,2020-05-12 17:23,Peoples Park; Peoples Park
20-00924,20002 (A): VC; Hit and Run:property Damage,2020-05-12 19:42,CENTENNIAL DR (Rev. 09/04/18)
20-00925,"OUT WRTM: Other Agency Warrant, Misd",2020-05-13 01:48,2220 Piedmont Av; Haas Business School
20-00927,OABPD: Outside Assist - BPD,2020-05-13 05:57,OXFORD/CENTER
20-00928,484 (A): PC; Theft,2020-03-19 12:00,2400 Bancroft Wy; Blackwell Hall
20-00929,484 G: PC; Theft By Use of Access Card Information,2020-05-13 12:53,1608 4th St; Css
20-00930,5150: WI; 72 Hour Mental Health Hold,2020-05-13 20:47,685 Libertyship Wy #102
20-00931,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-05-13 20:48,Wickson Bridge; Wickson Bridge
20-00932,664/484: PC; Attempted Petty Theft 594 (B)(2)(A): PC; Vandalism Less Than $400,2020-05-10 22:22,Lower Sproul Pz; Lower Sproul Pz (Rev. 09/04/18)
20-00933,602 (M): PC; Trespass:drive On Private Property (Amended) 626: Exclusion Order Issued,2020-05-14 09:59,GILL TRACT
20-00934,Found Prop.: Found Property,2020-05-14 11:40,786 Red Oak Ave #799
20-00935,Found Prop.: Found Property,2020-05-14 06:53,555 Ohlone Av #105; Uva-170
20-00936,MISC: Miscellaneous Report,2020-05-13 17:00,Mcenerney Gr; Mcenerney Gr
20-00937,Caslty: Injury/Illness,2020-05-14 21:50,Sather Tower; Sather Tower
20-00938,647 (E): PC; Disorderly Conduct:lodge Without Owners Consent 626: Exclusion Order Issued,2020-05-14 22:13,Gpb Garage; Gpb Garage (Rev. 09/04/18)
20-00939,RULES: Rules Violation,2020-05-15 00:08,Pimentel Hall; Pimentel Hall
20-00940,Found Prop.: Found Property,2020-05-15 01:09,Pimentel Hall; Pimentel Hall
20-00941,RULES: Rules Violation,2020-05-15 06:31,Dwinelle Hall; Dwinelle Hall
20-00942,TC-Non Injury: Traffic Collision Non Injury,2020-05-15 07:10,Kula Gulf Wy S Ohlone Av
20-00943,487 (A): PC; Grand Theft of Money/Labor/Property Exceed $950 (Blocked),2020-05-14 08:42,2415 Bowditch St; Crossroads
20-00944,Lost Prop.: Lost Property,2020-05-15 13:27,Lewis Hall; Lewis Hall
20-00945,374.4 (A): PC; Litter Public/Private Property,2020-05-15 14:15,Uva; Uva (Rev. 09/04/18)
20-00946,5150: WI; 72 Hour Mental Health Hold,2020-05-16 00:49,Ucpd; Ucpd
20-00947,594: PC; Malicious Mischief/Vandalism,2020-05-12 23:00,Hearst Gym; Hearst Gym
20-00948,Caslty: Injury/Illness,2020-05-16 11:54,Centennial Dr
20-00949,Caslty: Injury/Illness,2020-05-16 15:32,Centennial Dr
20-00950,Caslty: Injury/Illness,2020-05-16 18:20,West Crescent; West Crescent
20-00951,594 (A): PC; Vandalism [under $1000],2020-05-16 19:26,Wickson Gate; Wickson Gate
20-00952,INFO: Information Only Report,2020-05-16 22:53,Ucpd; Ucpd
20-00953,626: Exclusion Order Issued 484: PC; Theft 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime] 647 (H): PC; Disorderly Conduct:lodge W/O Consent (Amended),2020-05-16 23:50,Underhill Lot; Underhill Lot (Rev. 09/04/18)
20-00954,488: PC; Petty Theft,2020-05-17 05:00,Peoples Park; Peoples Park
20-00955,484: PC; Theft,2020-05-17 11:48,2600 Ridge Rd; Cloyne Ct
20-00956,OA Assist: Outside Agency Assist,2020-05-17 14:32,Mlk; Mlk (Rev. 09/04/18)
20-00957,5150: WI; 72 Hour Mental Health Hold,2020-05-18 01:56,Ucpd; Ucpd
20-00958,OABPD: Outside Assist - BPD,2020-05-18 06:25,2105 Bancroft Wy
20-00959,Caslty: Injury/Illness,2020-05-18 13:18,Frank Schlessinger Wy
20-00961,MISC: Miscellaneous Report,2020-05-18 18:12,NW Anim Facil #120D; NW Anim Facil
20-00962,487 (C): PC; Grand Theft From Person SUPP: Supplemental Reports,2020-05-18 18:25,Lower Sproul Pz; Lower Sproul Pz (Rev. 09/04/18)
20-00963,INFO: Information Only Report,2020-05-19 00:29,2500 Haste St
20-00964,Found Prop.: Found Property,2020-05-19 09:03,Lower Sproul Pz; Lower Sproul Pz
20-00965,MISC: Miscellaneous Report,2020-05-19 11:38,Univ House; Univ House
20-00966,MISC: Miscellaneous Report,2020-05-14 17:16,Valley Life Science Bldg; VLSB
20-00967,PRODAM: Property Damage,2020-05-19 13:48,Lbnl-31; Lbnl-31
20-00968,530.5: PC; Unauth Use of Personal Identification:obtain Credit (Blocked) 485: PC; Appropriate Lost Property,2020-04-22 16:00,Campus; Campus
20-00969,459V-F: PC; Burglary Vehicle,2020-05-19 18:46,Signpost-18; Signpost-18
20-00970,626: Exclusion Order Issued 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2020-05-19 18:53,Gill Tract & (Rev. 09/04/18)
20-00971,602: PC; Tresspassing,2020-05-16 18:00,2001 Gayley Rd; Greek Theater
20-00972,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-05-20 12:20,1995 University Av; Uc Ext/Pato
20-00974,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-05-20 19:06,Ellsworth Parking Structure; Ellsworth Parking Structure (Rev. 09/04/18)
20-00975,"OUT WRTM: Other Agency Warrant, Misd",2020-05-21 02:33,Lower Sproul Pz; Lower Sproul Pz
20-00976,2800.2 (A): VC; Disregard Safety:evade Police,2020-05-21 05:15,Oxford St WEST Kittredge Street
20-00977,484: PC; Theft,2020-05-21 10:24,Hearst Mining Building; Hearst Mining Building
20-00978,10-42: Welfare Check,2020-05-21 10:47,435 Gooding Wy #448
20-00979,484: PC; Theft,2020-05-16 04:00,2650 Haste St; Unit-2
20-00980,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-05-21 12:11,Valley Life Science Bldg; VLSB
20-00981,Caslty: Injury/Illness,2020-05-21 23:55,Lower Sproul Garage; Lower Sproul Garage (Rev. 09/04/18)
20-00984,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-04-30 00:00,2220 Piedmont Av; Haas Business School
20-00985,MISC: Miscellaneous Report,2020-05-22 15:51,Uva; Uva
20-00986,1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime] 166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc,2020-05-22 18:29,Koshland Hall; Koshland Hall
20-00987,484: PC; Theft 484 (A): PC; Petty Theft,2020-05-22 20:29,Lower Sproul Pz; Lower Sproul Pz (Rev. 09/04/18)
20-00988,415: PC; Disturb The Peace,2020-05-23 04:08,735 West End Wy #204 (Rev. 09/04/18)
20-00991,243.4 (E)(1): PC; Touch Person Intimately Against Will For Sexual Arousal/Etc,2020-05-24 11:54,Doe Library; Doe Library
20-00992,PRODAM: Property Damage,2020-05-24 17:27,Frank Schlessinger Wy (Rev. 09/04/18)
20-00993,594: PC; Malicious Mischief/Vandalism,2020-05-25 09:31,Moses Hall; Moses Hall
20-00994,594: PC; Malicious Mischief/Vandalism,2020-05-25 10:59,Lewis Hall; Lewis Hall
20-00995,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2 (A): PC; Probation Violation:rearrest/Revoke,2020-05-25 13:02,I House; I House
20-00996,INFO: Information Only Report,2020-05-25 18:38,Lhs Vista Lot; Lhs Vista Lot (Rev. 09/04/18)
20-00998,PRODAM: Property Damage,2020-05-22 23:07,Ellsworth Parking Structure; Ellsworth Parking Structure
20-00999,PRODAM: Property Damage,2020-04-03 19:00,Centennial Dr (Rev. 09/04/18)
20-01001,452: PC; Unlawfully Causing Fire,2020-05-27 05:56,1075 Monroe St
20-01002,Caslty: Injury/Illness,2020-05-27 16:21,Cyclotron Rd
20-01003,602 (O)(1): PC; Trespass:refuse to Leave Property:peace Officer Request 626: Exclusion Order Issued,2020-05-27 20:35,Uva; Uva
20-01004,626: Exclusion Order Issued,2020-05-27 21:42,Peoples Park; Peoples Park (Rev. 09/04/18)
20-01005,372: PC; Maintain Public Nuisance,2020-05-28 00:35,2401 Bancroft Wy; Dance Studio
20-01006,Found Prop.: Found Property,2020-05-28 01:04,BTWN ZELLERBACH AND DANCE STUDIO
20-01007,DEMO: Demonstration,2020-05-28 05:49,Peoples Park; Peoples Park
20-01008,484: PC; Theft,2020-05-28 20:05,945 Ohlone Av
20-01011,Found Prop.: Found Property,2020-05-28 22:30,1110 Jackson St (Rev. 09/04/18)
20-01012,"273.6: PC; Violate Court Order to Prevent Domestic Violence 148 (A)(1): PC; Resist/Obstruct Police Officer, Etc",2020-05-29 00:31,Bowditch St & Haste St
20-01013,Caslty: Injury/Illness,2020-05-29 01:36,Bowditch St & Haste St
20-01014,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-05-26 23:45,2650 Durant Av; Unit-1 Putnam
20-01015,459: PC; Burglary: First Degree,2020-05-28 20:57,Memorial Stadium; Memorial Stadium
20-01016,Found Prop.: Found Property,2020-05-28 15:00,2301 Bancroft Wy; RSF
20-01017,Lost Prop.: Lost Property,2020-04-21 04:00,2121 Allston Wy; Magnes Bldg
20-01018,242: PC; Battery,2020-05-29 13:05,Peoples Park; Peoples Park
20-01021,PRODAM: Property Damage,2020-05-29 21:38,1111 Franklin St; UCOP (Rev. 09/04/18)
20-01019,647 (F): PC; Disorderly Conduct:intox Drug With Alcohol,2020-05-30 01:58,2650 Durant Av; Unit-1 Freeborn
20-01020,245 (A)(2): PC; Assault With Firearm On Person,2020-05-30 22:35,Signpost-15; Signpost-15
20-01022,Caslty: Injury/Illness,2020-05-30 05:54,Peoples Park; Peoples Park (Rev. 09/04/18)
20-01023,594: Vandalism,2020-05-31 15:39,Campus
20-01024,626: Exclusion Order Issued,2020-05-31 16:07,Northgate Hall; Northgate Hall (Rev. 09/04/18)
20-01776,594: PC; Malicious Mischief/Vandalism,2020-11-01 04:20,Lower Sproul Pz; Lower Sproul Pz
20-01777,MISC: Miscellaneous Report,2020-11-01 08:50,Uva; Uva
20-01779,484 (A): PC; Theft,2020-11-01 11:30,Peoples Park; Peoples Park
20-01781,594: PC; Malicious Mischief/Vandalism,2020-11-01 23:26,Hearst Mining Building; Hearst Mining Building (Rev. 09/04/18)
20-01782,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-11-02 02:37,Ellsworth Parking Structure; Ellsworth Parking Structure
20-01783,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2020-11-02 02:13,Peoples Park; Peoples Park
20-01784,261: PC; Rape:not Specified 288 A(A): PC; Oral Copulation,2020-11-02 03:19,Peoples Park; Peoples Park
20-01785,415: PC; Disturb The Peace,2020-11-02 06:26,Haas Pavilion; Haas Pavilion
20-01786,Caslty: Injury/Illness,2020-11-02 11:19,2222 Bancroft Wy; Tang Center
20-01787,602: PC; Tresspassing,2020-11-02 11:18,Botanical Gardens; Botanical Gardens
20-01788,PRODAM: Property Damage,2020-11-02 17:10,Lbnl; Lbnl
20-01789,PRODAM: Property Damage,2020-11-02 17:35,Foothill Lot; Foothill Lot
20-01790,417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm 626: Exclusion Order Issued,2020-11-02 19:54,Peoples Park; Peoples Park
20-01792,148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended),2020-11-02 19:40,Max Martinez; Max Martinez
20-01793,5150: WI; 72 Hour Mental Health Hold,2020-11-02 21:34,Sather Gate; Sather Gate (Rev. 09/04/18)
20-01795,5150: WI; 72 Hour Mental Health Hold,2020-11-03 16:14,Amazon Store; Amazon Store
20-01796,PRODAM: Property Damage,2020-11-03 17:31,Moses Hall; Moses Hall
20-01797,148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended),2020-10-31 20:10,2537 Haste St #a; Alumnae Hall (Rev. 09/04/18)
20-01798,10-42: Welfare Check,2020-11-04 08:47,Lower Sproul
20-01799,594: PC; Malicious Mischief/Vandalism 602 (M): PC; Trespass:drive On Private Property (Amended),2020-11-04 10:51,2334 Bowditch St
20-01800,594: PC; Malicious Mischief/Vandalism,2020-10-16 11:07,Cesar Chavez Center; Cesar Chavez Center
20-01803,Caslty: Injury/Illness,2020-11-04 18:08,Lower Fire Tr; Lower Fire Tr
20-01804,529 (A)(3): PC; Personate to Make Other Liable SUPP: Supplemental Reports 148.4 (A)(2): PC; Send/Etc False Fire Alarm By Any Method,2020-11-04 21:26,Lower Sproul Pz; Lower Sproul Pz (Rev. 09/04/18)
20-01806,Rec-Stolen: Recovered Stolen Vehicle 10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-11-05 14:14,Memorial Stadium; Memorial Stadium
20-01807,415: PC; Disturb The Peace,2020-11-05 14:53,300 Gooding Wy; Uva-112
20-01808,626: Exclusion Order Issued,2020-11-05 15:36,Boalt Hall; Boalt Hall
20-01810,SUPP: Supplemental Reports 243 (E)(1): PC; Battery On Spouse/Co-Habitant/Etc,2020-11-05 18:23,300 Gooding Wy #305
20-01811,459V-F: PC; Burglary Vehicle,2020-11-05 16:00,715 Kinkead Wy
20-01812,459: PC; Burglary: Second Degree SUPP: Supplemental Reports Sexual Battery,2020-11-05 22:02,2334 Bowditch St 2650 Haste St. (Rev. 09/04/18)
20-01813,417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm,2020-11-06 09:20,Centennial Dr
20-01814,DEMO: Demonstration,2020-11-06 12:06,Bancroft Wy & Telegraph Av
20-01815,10-42: Welfare Check,2020-11-06 13:03,530 Kinkead Wy #300
20-01816,MISC: Miscellaneous Report,2020-11-06 11:00,Lbnl-2; Lbnl-2
20-01817,Caslty: Injury/Illness,2020-11-06 16:46,Peoples Park; Peoples Park
20-01818,Found Prop.: Found Property,2020-11-06 18:39,Ucpd; Ucpd (Rev. 09/04/18)
20-01819,OABPD: Outside Assist - BPD,2020-11-07 07:30,Underhill Lot; Underhill Lot (Rev. 09/04/18)
20-01820,"OUT WRTM: Other Agency Warrant, Misd 11364 (A): HS; Possess Unlawful Paraphernalia (Renumbered)",2020-11-08 14:04,Bancroft Wy N Piedmont Av
20-01821,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-11-08 21:27,2301 Bancroft Wy; RSF
20-01822,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-11-08 21:52,Lower Sproul Garage; Lower Sproul Garage
20-01823,459: PC; Burglary: Second Degree,2020-11-08 21:47,2614 Dwight Wy (Rev. 09/04/18)
20-01824,FIRE: Fire,2020-11-09 00:24,Smyth-Fernwald; Smyth-Fernwald
20-01825,PRODAM: Property Damage,2020-11-09 06:09,2175 Gayley Rd; Stadium Parking Structure
20-01826,286 (A): PC; Sodomy,2020-11-09 03:00,Peoples Park; Peoples Park
20-01827,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-11-08 10:57,Uva; Uva
20-01828,RULES: Rules Violation 374.4 (A): PC; Litter Public/Private Property,2020-11-09 10:41,Cesar Chavez Center; Cesar Chavez Center
20-01829,4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc 16020 (A): VC; Fail to Carry Evidence of Financial Reponsibility:vehicle,2020-11-09 14:08,University Av EAST Sacramento St
20-01830,4573.5: PC; Bring Drugs/Alcohol/Etc Into Prison/Jail OABPD: Outside Assist - BPD,2020-11-09 07:15,Berkeley City Jail
20-01831,484: PC; Theft,2020-11-07 21:21,435 Gooding Wy; Uva-121
20-01832,10-42: Welfare Check,2020-11-09 21:33,2650 Haste St; Unit-2 Davidson
20-01833,314: PC; Indecent Exposure,2020-11-09 23:54,"Haste St Telegraph Ave, Berkeley (Rev. 09/04/18)"
20-01834,602: PC; Tresspassing,2020-11-10 06:42,Haas Pavilion; Haas Pavilion
20-01835,"OUT WRTM: Other Agency Warrant, Misd",2020-11-10 09:14,Ucpd; Ucpd
20-01836,10852: VC; Tamper With Vehicle 487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-11-09 22:22,UVA-871
20-01837,594: PC; Malicious Mischief/Vandalism,2020-11-10 16:09,Hildebrand Hall; Hildebrand Hall
20-01838,484 (A): PC; Theft,2020-11-10 17:17,Minor Hall #300p; Minor Hall (Rev. 09/04/18)
20-01839,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-11-11 17:52,Underhill Lot #College Ave; Underhill Lot (Rev. 09/04/18)
20-01840,594: PC; Malicious Mischief/Vandalism,2020-11-12 08:42,1040 Jackson St; Uva-119
20-01842,Caslty: Injury/Illness,2020-11-12 18:51,Peoples Park; Peoples Park (Rev. 09/04/18)
20-01844,594: PC; Malicious Mischief/Vandalism,2020-11-13 08:23,2650 Durant Av; Unit-1
20-01845,484: PC; Theft,2020-11-13 16:13,Boalt Lot; Boalt Lot
20-01846,FIRE: Fire,2020-11-13 18:14,1301 S. 46th Street; RFS
20-01847,10-42: Welfare Check,2020-11-13 20:37,2400 Durant Av; Unit-3 Priestly (Rev. 09/04/18)
20-01848,484 (A): PC; Theft,2020-11-13 22:30,515 West End Wy #201
20-01849,3056: PC; Violation Parole: Felony,2020-11-14 13:46,Dwight Wy & Warring St
20-01850,Civil: Civil Information Report,2020-11-14 16:16,Barrows Ln
20-01851,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-11-10 18:03,Zellerbach Hall; Zellerbach Hall
20-01852,22651(n): VC; Posted Tow Away Zone,2020-11-14 18:03,525 Red Oak Ave #775
20-01853,Caslty: Injury/Illness,2020-11-14 23:27,Durant Hall; Durant Hall (Rev. 09/04/18)
20-01854,PRODAM: Property Damage,2020-11-15 01:46,Lhs; Lhs
20-01855,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-11-13 15:30,335 Ohlone Av #305
20-01856,22651(n): VC; Posted Tow Away Zone,2020-11-15 13:24,Signpost-7; Signpost-7
20-01857,Caslty: Injury/Illness,2020-11-15 15:08,Evans Hall; Evans Hall
20-01859,22651(o)(1): VC; Stored Vehicle-Registration Expired Over 6 Months,2020-11-15 22:18,Centennial Dr (Rev. 09/04/18)
20-01858,5150: WI; 72 Hour Mental Health Hold,2020-11-16 01:28,Ucpd; Ucpd
20-01861,MISC: Miscellaneous Report,2020-11-15 23:30,1125 Jackson St
20-01862,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-11-14 23:00,Mlk; Mlk
20-01863,PRODAM: Property Damage,2020-11-16 16:56,Wheeler Hall; Wheeler Hall
20-01864,484 (A): PC; Theft,2020-11-15 00:00,660 Kinkead Wy; Uva-152 (Rev. 09/04/18)
20-01866,Caslty: Injury/Illness,2020-11-17 03:58,Koshland Hall; Koshland Hall
20-01867,INFO: Information Only Report,2020-11-17 10:38,ABH
20-01871,602 (M): PC; Trespass:drive On Private Property (Amended) 243 (B): PC; Battery On Peace Officer/Fireman (Amended) 5150: WI; 72 Hour Mental Health Hold,2020-11-17 21:09,Lbnl-62; Lbnl-62
20-01872,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-11-17 23:03,Ellsworth Parking Structure; Ellsworth Parking Structure
20-01873,"OUT WRTF: Other Agency Warrant, Fel",2020-11-17 23:36,Durant Av & Telegraph Av (Rev. 09/04/18)
20-01874,415: PC; Disturb The Peace,2020-11-18 07:53,755 Ohlone Av; Uva-105
20-01876,Caslty: Injury/Illness,2020-11-18 12:23,Space Sciences; Space Sciences
20-01877,MISC: Miscellaneous Report,2020-11-18 13:07,601 Chester Ave
20-01878,10-42: Welfare Check,2020-11-18 13:41,670 Kula Gulf Wy #304 (Rev. 09/04/18)
